epoch,categorical_accuracy,categorical_mean_squared_error,loss,lr,val_categorical_accuracy,val_categorical_mean_squared_error,val_loss
0,0.08998472184645176,1526.6183124442089,3.6865176992370858,0.0010000000475,0.18627278130670435,587.62106453604235,2.8250326141537232
1,0.24821454403935297,422.23049359845089,2.5222400021439237,0.0010000000475,0.28571137993958801,311.52735536934938,2.3401535311291495
2,0.29787734137550176,256.70749674662773,2.2653340330271847,0.0010000000475,0.3038800892404554,243.97866070412792,2.2306187017720753
3,0.31624719788607092,216.57558796229398,2.1809176919283901,0.0010000000475,0.32644237729060621,230.38510522836717,2.163692589022379
4,0.32313815299821641,200.32854264917691,2.1488010159255779,0.0010000000475,0.33021443550583857,210.50926116400515,2.12657307596935
5,0.33606575911326736,188.4509856836039,2.0931154502320117,0.0010000000475,0.33637538858131466,191.77079509095532,2.1025959385607864
6,0.33382376877319841,179.07025874315411,2.096523557471774,0.0010000000475,0.33693362589312054,203.24171023323314,2.0924908239972337
7,0.34217247052167082,166.41191824040152,2.0615091942659709,0.0010000000475,0.33642737009075774,164.63148842791099,2.0726514253809798
8,0.3440370293498608,155.82850111128323,2.0469864120346832,0.0010000000475,0.34005478323217225,153.53882607042362,2.0516334463417674
9,0.34332962672010525,154.07609428170187,2.0503671651523834,0.0010000000475,0.3365403737401621,155.69147098434286,2.0490096448998463
10,0.3506070545614477,143.40364422803847,2.0111617417494836,0.0010000000475,0.34754917907544136,135.53843951822751,2.0286492847599678
11,0.35069067747752253,133.38861477289677,2.0069754974369785,0.0010000000475,0.35261851778533976,138.6336920605639,2.0066768285198258
12,0.35526732127748983,127.45811186585051,1.9827345551340563,0.0010000000475,0.35684485059578264,137.61520712756882,1.9878838639839738
13,0.35466388244902036,129.54114916721505,1.9910459669222411,0.0010000000475,0.35840429955991188,136.08524505818943,1.9840738955431736
14,0.35584137827015722,121.49933093373701,1.9778152641646902,0.0010000000475,0.35260721745951934,122.56047518441102,1.9816478176446974
15,0.3598530052100844,118.7033609978339,1.9583213313667187,0.0010000000475,0.36051746587622424,127.00529105509665,1.9605981844137279
